good_id,good,first_course,main_course,drink,bakery,dessert,snacks,salad,meat&fish
196.0,Рулетики из индейки/шпинат 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
197.0,Пирожок с зел.лук/яйцо,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
198.0,Говядина Мексика 75/75гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
199.0,Котлета из индейки на пару 100/10гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
200.0,С-т из картоф.черри/овощи/з.из брынз120,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
201.0,Кур.филе/с.кисло-сладкий 75/75гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
202.0,Рыба жар/з.имбирная 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
203.0,Помидоры запеч/укроп 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
204.0,Котлета куриная/зеленое масло 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
205.0,С-т из б/к марин/перец/аром.масло 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
206.0,Тар-тар из кальмаров 120гр,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0
207.0,С-т из огур/помидор/айсберк/з.дом 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
208.0,Рыба жар/с.тар-тар 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
209.0,Пирожок Слойка/сыром,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
210.0,С-т Ницца/тунец 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
211.0,Куриная Бабка 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
212.0,С-т из горбуши/карт/яйцо/майонез 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
213.0,С-т из дайкон/квашен.кап/морк/масло 120г,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
214.0,Морковь/сыр/майонез 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
215.0,Суп фасолевый/помидор 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
216.0,Напиток яблочно-клюквенный 200гр,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0
217.0,С-т Слоеный/рыбный 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
218.0,Кур.филе/тыквенный конфитюр 140/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
219.0,С-т Греческий/заправка 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
220.0,С-т в китайском стиле/курица 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
221.0,Рыба отв/с.из петрушки 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
222.0,Сосиска Венская 1шт/Мик,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
223.0,С-т из огур/редис/масла 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
224.0,С-т Чука/с.ореховый 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
225.0,Свинина/с.тар-тар 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,"



",1.0
226.0,С-т Чука/горбуша 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
227.0,Пирог Осетинский/сыр 1кусок,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0
228.0,Хашбрауны 2шт/100гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
229.0,Свекла запеч/брусника 120гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
230.0,Баклажаны/кабачки/с.йогурт/мята 120гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
231.0,С-т из к/к с огурцами 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
232.0,С-т Панцанелла/овощной 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
233.0,Рис с шафраном 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
234.0,С-т из помидор/авокадо/ветч/запр 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
235.0,С-т из кур/салат/перец/с.горчичный 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
236.0,Биточки куриные паровые 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
237.0,С-т картофельный/сельдь/с.апельс 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
238.0,Пирожок с грибами,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
239.0,С-т из редиса/яйцо/майонез 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
240.0,Холодец по-домашнему 120гр,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0
241.0,С-т Тайский/рис.бумага/терияки 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
242.0,Суп-пюре из лука порей 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
243.0,С-т Шармэль/морковь/апельсин/йог 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
244.0,С-т из индейки/жульен овощной 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
245.0,Аджан андали/пост 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
246.0,Кукурузное рагу 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
247.0,Пирожок Слойка/капуста,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
248.0,Щи по-купечески/овощи 250гр,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0
249.0,С-т из помидор/ог/маслин/брынзы/ма 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
250.0,Кабачки гриль/с.йогуртовый 150/20гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
251.0,Кур.филе фарш.зеленью 120гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
252.0,Фасоль стручк/миндаль 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
253.0,С-т романо/базилик/мандарин/заправ 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
254.0,С-т из баклажан/тунца 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
255.0,С-т Баварский/красн.капуста 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
256.0,С-т айсберг/хурма/перепелиное яйцо 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
257.0,Говядина по-сельски 80гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
258.0,Пирог Осетинский/капустой 1кусок,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0
259.0,Булгур/томаты/кабачки 120гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
260.0,Индейка/вяленые томаты 80гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
261.0,Пирожок Слойка/картоф/грибы,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
262.0,Капуста туш/помидор 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
263.0,Кур.окорочка отварные 125гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
264.0,Ланч бокс большой 1шт,0.0,1.0,1.0,1.0,0.0,0.0,1,1.0
